1,35,7312.056901230243
2,129,26950.152578820038
3,184,38440.527709324706
4,239,49930.902839829374
5,318,66435.25984546336
6,384,80223.71000206895
7,462,96519.15109623922
8,516,107800.61031528015
9,573,119708.81726871227
10,643,134332.93107117276
11,699,146032.22211314115
12,756,157940.42906657327
13,834,174235.8701607435
14,861,179876.59977026397
15,861,179876.59977026397
16,861,179876.59977026397
17,861,179876.59977026397
18,861,179876.59977026397
19,861,179876.59977026397
20,861,179876.59977026397
21,861,179876.59977026397
22,861,179876.59977026397
23,861,179876.59977026397
24,861,179876.59977026397
25,861,179876.59977026397
26,861,179876.59977026397
27,19,3969.402317810703
28,78,16295.441094170257
29,120,25069.909375646548
30,174,36351.36859468749
31,229,47841.74372519216
32,283,59123.20294423312
33,0,0.0
34,35,7312.056901230243
35,92,19220.263854662353
36,0,0.0
37,32,6685.30916683908
38,90,18802.432031734912
